#OTU ID	CEN01	CEN02	CEN03	CEN04	CEN06	CEN07	CEN08	CEN09	CEN10	CEN11	CEN12	CEN13	CEN14	CEN15	CEN16	CEN17	CL1a	CL1b	CL1c	CL1d	CL4a	CL4b	CL4c	CL4d	HEV079a	HEV079d	HEV081a	HEV081d	HEV082a	HEV082d
Zotu1170	0	0	0	2	0	2	1	6	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1123	0	0	0	3	0	3	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu85	0	0	0	4	0	5	1	1	2	0	2	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu533	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu279	0	0	0	1	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu244	0	0	0	1	0	0	715	0	0	0	451	0	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu310	0	0	0	1	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu788	0	0	0	1	0	0	0	1	3	2	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu277	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu263	0	0	0	1	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu329	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1029	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu392	0	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	5	0
Zotu65	0	0	0	1	0	5	0	0	1	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu151	0	0	0	1	0	0	576	0	0	0	371	0	6	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu882	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu456	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	8	5	2	0	0
Zotu717	0	0	0	0	2	0	461	0	0	1	215	0	249	207	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu363	0	0	0	0	1	0	239	0	0	0	118	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu915	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu171	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu630	0	0	0	0	0	1	0	0	0	0	114	0	118	72	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu961	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu471	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1000	0	0	0	0	0	4	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu418	0	0	0	0	0	2	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu58	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu379	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu95	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu169	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu413	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu580	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu662	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu113	0	0	0	0	0	0	1185	0	1	0	477	1	334	522	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu128	0	0	0	0	0	0	703	0	0	0	382	0	349	128	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu339	0	0	0	0	0	0	555	0	0	0	315	0	0	247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu422	0	0	0	0	0	0	810	0	0	0	426	0	312	525	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu930	0	0	0	0	0	0	242	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu252	0	0	0	0	0	0	973	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu415	0	0	0	0	0	0	432	0	0	0	270	0	155	218	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu452	0	0	0	0	0	0	372	0	0	0	1	0	371	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu240	0	0	0	0	0	0	2476	0	1	0	990	1	917	1453	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu189	0	0	0	0	0	0	766	0	0	0	14	0	9	20	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu876	0	0	0	0	0	0	300	0	0	0	78	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu231	0	0	0	0	0	0	799	0	0	0	1	0	1	1	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
