#OTU ID	PAN09	PAN10	PAN11	PAN12	PAN13	PAN14	PAN15	PHH004	PHH005	PHH006	PHH007	PHH008	PHH009	PHH010	PHH016	PHH020	PHH021	PHH022	PHH023	PHH024	PHH025	PHH030	PHH032	PHH034	PHH035	PHH038	PHH039	PHH040	PHH041	PHH042
Zotu152	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	4	0	11	3	0	0	0	0	0	3	7	1	4	0
Zotu971	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu366	0	0	0	0	0	0	0	0	91	17	0	10	11	0	1	2	1	3	0	0	0	0	34	0	0	0	0	0	0	13
Zotu527	0	0	0	0	0	0	0	0	21	0	0	4	1	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
Zotu299	0	0	0	0	0	0	0	0	18	4	1	4	0	0	0	0	0	0	0	0	10	0	3	0	0	0	0	0	0	29
Zotu3	0	0	0	0	0	0	0	0	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0
Zotu172	0	0	0	0	0	0	0	0	39	2	8	0	10	2	0	0	4	0	0	0	1	0	4	0	0	0	0	1	0	0
Zotu677	0	0	0	0	0	0	0	0	8	1	3	0	4	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0
Zotu484	0	0	0	0	0	0	0	0	4	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu290	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
Zotu306	0	0	0	0	0	0	0	0	4	1	0	0	0	0	1	1	2	0	0	0	1	1	4	0	1	1	0	0	0	1
Zotu1187	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu796	0	0	0	0	0	0	0	0	7	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu170	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu870	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Zotu1112	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	3
Zotu590	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu788	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	3	0	0
Zotu755	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Zotu378	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Zotu428	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
Zotu74	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0
Zotu1029	0	0	0	0	0	0	0	0	1	3	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu606	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu580	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	1	3	17	4	0	0	0	0	0	0	0	18	0
Zotu810	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu285	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1056	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu643	0	0	0	0	0	0	0	0	2	0	0	1	1	3	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	1
Zotu671	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu442	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
Zotu89	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1038	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu245	0	0	0	0	0	0	0	0	0	15	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Zotu431	0	0	0	0	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1
Zotu190	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	1
Zotu860	0	0	0	0	0	0	0	0	0	1	0	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu277	0	0	0	0	0	0	0	0	0	10	15	0	0	16	0	2	20	0	0	0	38	0	9	4	2	31	0	29	0	0
