#OTU ID	HEV018a	HEV018b	HEV018c	HEV018d	HEV020a	HEV020b	HEV020c	HEV020d	HEV021a	HEV021b	HEV021c	HEV021d	HEV022a	HEV022b	HEV022c	HEV022d	HEV023a	HEV023b	HEV023c	HEV023d	HEV024a	HEV024b	HEV024c	HEV024d	HEV025a	HEV025b	HEV025c	HEV025d	HEV026a	HEV026b	HEV026c	HEV026d
Zotu316	0	0	0	0	0	0	0	0	0	0	0	0	51	40	24	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu978	0	0	0	0	0	0	0	0	0	0	0	0	4	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu410	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu385	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu117	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu76	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Zotu34	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu143	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	4	13	14	1	0	0	0	0	64	298	142	4	0	0	0	0
Zotu1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	4	5	0	0	0	0	0	0	0	0	0	0	0	0
Zotu395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	30	19	18	0	0	0	0	0	0	0	0	0	0	0	0
Zotu732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	19	0	0	0	37	0	0	0
Zotu61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	28	32	18	15	0	0	0	0
Zotu25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
