#OTU ID	HEV099	HEV100	HEV101	HEV102	HEV103	HEV104	HEV105	HEV106	HEV107	HEV108	HEV109	HEV110	HEV111	ISO01	ISO02	ISO04	ISO05	ISO06	ISO07	ISO08	ISO09	ISO10	ISO11	ISO12	ISO13	ISO14	ISO15
Zotu890	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu500	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu317	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu20	0	0	0	0	0	0	0	0	0	0	377	0	0	24	713	0	3649	684	806	121	278	0	238	0	476	324	69
Zotu436	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu435	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu304	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu177	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1135	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1198	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu322	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu686	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu815	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1194	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu979	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu926	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu795	0	0	0	0	0	0	0	0	0	0	2	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu397	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu203	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu411	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu592	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu683	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1136	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu895	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu375	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	1	0	0	0	0	0	6	0
Zotu90	0	0	0	0	0	0	0	0	0	0	0	0	0	117	452	0	0	0	0	0	0	0	0	0	0	0	0
Zotu608	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	2	3	1	0	6	21	6	0
Zotu568	0	0	0	0	0	0	0	0	0	0	0	0	0	12	114	0	0	0	0	0	0	0	0	0	0	0	0
Zotu263	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu878	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu16	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	53	52	0	56	0	0	1	27	42	0	17	0
Zotu357	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0
Zotu1195	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	9	0	0	0	0	0
Zotu389	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu68	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	1	1	1	0	0	2	0	1	0
Zotu11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	662	922	0	340	0	0	0	0	62	0	64	9
Zotu541	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	8	4	2	0	8	0	7	0	0
Zotu69	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	2	0	0	0	0	0	0	0	0
Zotu1130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0
Zotu816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
Zotu364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	6	0	0	0
Zotu466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	1	0	0	0	0	0	0	0	0	0	0
Zotu159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	98	0	2	0	0	0	1	0	26	0	0	0
Zotu34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	37	0	0	0	0	0	0	0	0
Zotu448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0
Zotu491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	3	21	3	3	1	9	19	10	3	11
Zotu1147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0
Zotu593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
Zotu464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	72	0	0	0	0	0	0	0	0	0	0	0
Zotu112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0
Zotu49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	48	0	84	56	0	2	6	37	37	32
