"","food.web","interaction","consumer","resource","pred_mass","prey_mass"
"61",26,0,803,666,1.056938395,0.010170915
"62",18,0,803,666,1.056938395,0.010170915
"63",48,0,803,666,1.056938395,0.010170915
"64",1,0,804,666,1.92992544,0.010170915
"65",10,0,810,666,3.693546703,0.010170915
"66",1,0,680,666,0.005410991,0.010170915
"67",10,0,680,666,0.005410991,0.010170915
"68",18,0,680,666,0.005410991,0.010170915
"69",26,0,811,666,2.792223696,0.010170915
"70",48,0,811,666,2.792223696,0.010170915
"71",1,0,811,666,2.792223696,0.010170915
"72",26,1,812,666,0.715590793,0.010170915
"73",7,1,812,666,0.715590793,0.010170915
"74",18,0,681,666,0.006355782,0.010170915
"75",26,0,821,666,1.552368522,0.010170915
"76",14,0,821,666,1.552368522,0.010170915
"77",1,0,821,666,1.552368522,0.010170915
"78",18,0,821,666,1.552368522,0.010170915
"79",1,0,822,666,1.446130459,0.010170915
"80",18,0,825,666,12.06814669,0.010170915
"81",10,0,825,666,12.06814669,0.010170915
"82",7,0,825,666,12.06814669,0.010170915
"83",1,0,825,666,12.06814669,0.010170915
"84",26,0,825,666,12.06814669,0.010170915
"85",14,0,825,666,12.06814669,0.010170915
"86",26,0,682,666,0.002697626,0.010170915
"87",18,1,832,666,0.672299021,0.010170915
"88",26,0,833,666,1.612679448,0.010170915
"89",7,0,833,666,1.612679448,0.010170915
"90",14,0,833,666,1.612679448,0.010170915
"91",10,0,833,666,1.612679448,0.010170915
"92",48,0,834,666,4.960838908,0.010170915
"93",26,1,835,666,0.174151383,0.010170915
"94",18,0,836,666,1.021355326,0.010170915
"95",26,0,836,666,1.021355326,0.010170915
"96",7,0,837,666,2.996785228,0.010170915
"97",48,1,839,666,0.519894704,0.010170915
"98",7,1,839,666,0.519894704,0.010170915
"99",26,1,839,666,0.519894704,0.010170915
"100",14,1,839,666,0.519894704,0.010170915
"101",18,1,839,666,0.519894704,0.010170915
"102",1,1,839,666,0.519894704,0.010170915
"103",10,1,839,666,0.519894704,0.010170915
"104",7,0,840,666,1.961535356,0.010170915
"105",18,0,840,666,1.961535356,0.010170915
"106",14,0,840,666,1.961535356,0.010170915
"107",1,0,840,666,1.961535356,0.010170915
"108",10,0,840,666,1.961535356,0.010170915
"109",26,0,840,666,1.961535356,0.010170915
"110",1,0,841,666,1.863227468,0.010170915
"111",48,0,841,666,1.863227468,0.010170915
"112",48,0,842,666,1.549189232,0.010170915
"113",10,0,843,666,1.603524814,0.010170915
"114",1,0,843,666,1.603524814,0.010170915
"115",26,0,843,666,1.603524814,0.010170915
"116",48,0,843,666,1.603524814,0.010170915
"117",7,0,843,666,1.603524814,0.010170915
"118",26,0,846,666,5.966948907,0.010170915
"119",1,0,846,666,5.966948907,0.010170915
"120",48,0,846,666,5.966948907,0.010170915
"121",18,0,846,666,5.966948907,0.010170915
"122",7,0,847,666,8.396656401,0.010170915
"123",26,0,847,666,8.396656401,0.010170915
"124",18,0,847,666,8.396656401,0.010170915
"125",10,0,847,666,8.396656401,0.010170915
"126",48,0,847,666,8.396656401,0.010170915
"127",14,0,847,666,8.396656401,0.010170915
"128",1,0,847,666,8.396656401,0.010170915
"129",14,1,848,666,0.37098032,0.010170915
"130",1,1,848,666,0.37098032,0.010170915
"131",7,1,848,666,0.37098032,0.010170915
"132",7,0,849,666,1.156146451,0.010170915
"133",10,0,849,666,1.156146451,0.010170915
"134",10,0,850,666,1.163737731,0.010170915
"135",48,0,850,666,1.163737731,0.010170915
"136",7,0,850,666,1.163737731,0.010170915
"137",26,0,850,666,1.163737731,0.010170915
"138",18,0,850,666,1.163737731,0.010170915
"139",26,1,851,666,0.732341046,0.010170915
"140",26,0,852,666,1.080163905,0.010170915
"141",48,1,860,666,0.016447018,0.010170915
"142",18,1,860,666,0.016447018,0.010170915
