"","ASV","unique_ID","Domain","Phylum","Class","Order","Family","Genus","Species","Class_bold","Order_bold","Family_bold","Genus_bold","Species_bold","ID_bold","ID_level_bold","ID_level"
"499","ASV_1721","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"500","ASV_1734","Orthoptera","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","","","","Insecta","Orthoptera","","","","Orthoptera","Order","Order"
"501","ASV_1032","Ornebius novarae","d__Eukaryota","p__Arthropoda","c__Insecta","o__Orthoptera","f__Mogoplistidae","g__Ornebius","s__Ornebius novarae","Insecta","Orthoptera","Gryllidea","Ornebius novarae","Ornebius novarae","Ornebius novarae","Species","Species"
"502","ASV_5","Pantala flavescens","d__Eukaryota","p__Arthropoda","c__Insecta","o__Odonata","f__Libellulidae","g__Pantala","s__Pantala flavescens","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Pantala flavescens","Species","Species"
"503","ASV_19","Pantala flavescens","d__Eukaryota","p__Arthropoda","c__Insecta","o__Odonata","f__Libellulidae","g__Pantala","s__Pantala flavescens","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Pantala flavescens","Species","Species"
"504","ASV_24","Pantala flavescens","d__Eukaryota","p__Arthropoda","c__Insecta","o__Odonata","f__Libellulidae","g__Pantala","s__Pantala flavescens","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Pantala flavescens","Species","Species"
"505","ASV_495","Pantala flavescens","d__Eukaryota","p__Arthropoda","c__Insecta","o__Odonata","f__Libellulidae","g__Pantala","s__Pantala flavescens","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Pantala flavescens","Species","Species"
"506","ASV_795","Pantala flavescens","d__Eukaryota","p__Arthropoda","c__Insecta","o__Odonata","f__Libellulidae","g__Pantala","s__Pantala flavescens","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Pantala flavescens","Species","Species"
"507","ASV_803","Pantala flavescens","d__Eukaryota","p__Arthropoda","c__Insecta","o__Odonata","f__Libellulidae","g__Pantala","s__Pantala flavescens","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Pantala flavescens","Species","Species"
"508","ASV_1178","Pantala flavescens","d__Eukaryota","p__Arthropoda","c__Insecta","o__Odonata","f__Libellulidae","g__Pantala","s__Pantala flavescens","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Pantala flavescens","Species","Species"
"509","ASV_1562","Pantala flavescens","d__Eukaryota","p__Arthropoda","c__Insecta","o__Odonata","f__Libellulidae","g__Pantala","s__Pantala flavescens","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Pantala flavescens","Species","Species"
"510","ASV_48","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"511","ASV_98","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"512","ASV_127","Eukaryota","d__Eukaryota","Arthropoda","Insecta","","","","","Insecta","","","","","Psocodea","Class","Class"
"513","ASV_318","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"514","ASV_346","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
"515","ASV_417","Eukaryota","d__Eukaryota","Chordata","Mammalia","Rodentia","","","","Mammalia","Rodentia","Muridae","Mus","Mus musculus","Mus musculus","Species","Order"
