"","ASV","Domain","Phylum","Class","Order","Family","ID_level"
"148","ASV_1358","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"149","ASV_1562","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"150","ASV_1735","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"151","ASV_1736","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"152","ASV_19","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"153","ASV_24","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"154","ASV_495","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"155","ASV_5","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"156","ASV_795","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"157","ASV_803","Eukaryota","Arthropoda","Insecta","Odonata","Libellulidae","Family"
"158","ASV_1018","Eukaryota","Arthropoda","Branchiopoda","Anostraca","Branchipodidae","Family"
"159","ASV_782","Eukaryota","Arthropoda","Branchiopoda","Anostraca","Branchipodidae","Family"
"160","ASV_973","Eukaryota","Arthropoda","Branchiopoda","Anostraca","Branchipodidae","Family"
"161","ASV_455","Eukaryota","Arthropoda","Insecta","Coleoptera","Staphylinidae","Family"
"162","ASV_1664","Eukaryota","Arthropoda","Insecta","Lepidoptera","Crambidae","Family"
"163","ASV_504","Eukaryota","Arthropoda","Insecta","Lepidoptera","Crambidae","Family"
"164","ASV_1187","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"165","ASV_1232","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"166","ASV_1373","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"167","ASV_1684","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"168","ASV_1706","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"169","ASV_447","Eukaryota","Arthropoda","Insecta","Hemiptera","Coccidae","Family"
"170","ASV_1046","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Family"
"171","ASV_180","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"172","ASV_243","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"173","ASV_26","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"174","ASV_486","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"175","ASV_562","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"176","ASV_569","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"177","ASV_855","Eukaryota","Arthropoda","Insecta","Diptera","Platystomatidae","Family"
"178","ASV_1184","Eukaryota","Arthropoda","Insecta","Diptera","Sciaridae","Family"
"179","ASV_1442","Eukaryota","Arthropoda","Insecta","Diptera","Sciaridae","Family"
"180","ASV_1096","Eukaryota","Arthropoda","Insecta","Diptera","Sciaridae","Family"
"181","ASV_326","Eukaryota","Arthropoda","Insecta","Thysanoptera","Thripidae","Family"
"182","ASV_115","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"183","ASV_13","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"184","ASV_1630","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"185","ASV_1685","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"186","ASV_251","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"187","ASV_309","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"188","ASV_313","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"189","ASV_330","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"190","ASV_331","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"191","ASV_381","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"192","ASV_615","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"193","ASV_726","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"194","ASV_8","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"195","ASV_95","Eukaryota","Arthropoda","Arachnida","Araneae","Pholcidae","Family"
"196","ASV_1598","Eukaryota","Arthropoda","Collembola","Symphypleona","Sminthuridae","Family"
"197","ASV_133","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Himantariidae","Family"
"198","ASV_538","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Himantariidae","Family"
"199","ASV_681","Eukaryota","Arthropoda","Insecta","Diptera","Limoniidae","Family"
"200","ASV_839","Eukaryota","Chordata","Aves","Pelecaniformes","Sulidae","Family"
"201","ASV_1076","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"202","ASV_1161","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"203","ASV_15","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"204","ASV_28","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"205","ASV_38","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"206","ASV_544","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"207","ASV_667","Eukaryota","Arthropoda","Chilopoda","Geophilomorpha","Mecistocephalidae","Family"
"208","ASV_49","Eukaryota","Arthropoda","Insecta","Dermaptera","Anisolabididae","Family"
"209","ASV_425","Eukaryota","Arthropoda","Insecta","Diptera","Stratiomyidae","Family"
"210","ASV_1609","Eukaryota","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Family"
"211","ASV_96","Eukaryota","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Family"
"212","ASV_1078","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"213","ASV_271","Eukaryota","Chordata","Reptilia","Squamata","Gekkonidae","Family"
"214","ASV_716","Eukaryota","Arthropoda","Arachnida","Araneae","Araneidae","Family"
"215","ASV_1419","Eukaryota","Arthropoda","Insecta","Blattodea","Blattidae","Family"
"216","ASV_654","Eukaryota","Arthropoda","Insecta","Blattodea","Blattidae","Family"
"217","ASV_91","Eukaryota","Arthropoda","Insecta","Blattodea","Blattidae","Family"
"218","ASV_924","Eukaryota","Arthropoda","Insecta","Blattodea","Blattidae","Family"
"219","ASV_1490","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"220","ASV_1491","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"221","ASV_515","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"222","ASV_628","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"223","ASV_778","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"224","ASV_850","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"225","ASV_932","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"226","ASV_784","Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Family"
"227","ASV_1516","Eukaryota","Arthropoda","Arachnida","Sarcoptiformes","Suidasiidae","Family"
"228","ASV_682","Eukaryota","Arthropoda","Arachnida","Sarcoptiformes","Suidasiidae","Family"
