	CL1-2_S28	CL4-2_S29	EUB10_S70	EUB12_S71	EUB13_S101	EUB15_S102	EUB16_S103	EUB18_S104	EUB19_S105	EUB1_S61	EUB20_S106	EUB21_S51	EUB23_S52	EUB24_S53	EUB25_S54	EUB26_S55	EUB27_S56	EUB28_S57	EUB29_S58	EUB2_S62	EUB30_S59	EUB31_S60	EUB32_S91	EUB34_S92	EUB35_S93	EUB36_S94	EUB3_S63	EUB4_S64	EUB5_S65	EUB6_S66	EUB7_S67	EUB8_S68	EUB9_S69	HEV07_S10	HEV10_S1	HEV11_S2	HEV12_S7	HEV13_S12	HEV14_S13	HEV15_S14	HEV16_S8	HEV17_S3	HEV18_S9	HEV20_S31	HEV21_S15	HEV22_S16	HEV23_S11	HEV24_S4	HEV25_S5	HEV26_S6	HEV27_S33	HEV29_S32	ISO10_S25	ISO11_S26	ISO12_S45	ISO13_S34	ISO14_S35	ISO15_S36	ISO16_S37	ISO17_S47	ISO18_S38	ISO19_S39	ISO1_S17	ISO20_S40	ISO21_S41	ISO22_S42	ISO23_S48	ISO24_S43	ISO25_S44	ISO26_S84	ISO27_S46	ISO2_S18	ISO30_S49	ISO31_S50	ISO32_S85	ISO33_S90	ISO34_S86	ISO35_S87	ISO36_S88	ISO37_S89	ISO4_S19	ISO5_S20	ISO6_S21	ISO7_S22	ISO8_S23	ISO9_S24	LRS2_S95	LRS3_S96	LRS5_S97	LRS6_S98	LRS7_S99	LRS8_S100	NEG_S27	PAN10_S81	PAN11_S82	PAN12_S83	PAN13_S107	PAN14_S108	PAN15_S109	PAN1_S72	PAN2_S73	PAN3_S74	PAN4_S75	PAN5_S76	PAN6_S77	PAN7_S78	PAN8_S79	PAN9_S80	QC1_S30
ASV_21	0	0	0	0	674	0	350	0	0	34	698	411	0	0	0	0	0	0	0	0	0	0	343	64	0	1860	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	0	129	448	466	0	0	1148	261	48	0	0	0	0	0	0	0	0	0	92	0	0	0	0	243	0	179	0	0	39	524	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	0	344	179	177	0	200	138	237	118	36	220	0	0	0	0	0	0	0	216	0	0	294	266	0	257	216	300	230	195	0	151	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	361	231	237	286	306	532	524	0	440	372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	214	1	0	339	400	0	0	1196	2	4	0	199	0	0	0	157	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	49	192	273	13	65	0	128	26	229	103	0	0	0	0	0	0	0	50	0	0	192	73	161	323	66	19	32	87	224	41	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	2408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	1844	26	43	0	0	445	0	0	0	13	0	15	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	2338	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	149	161	217	65	110	141	196	38	35	180	0	0	0	0	0	0	0	85	0	0	127	0	113	189	0	78	0	96	64	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
