	CEN10_S19	CEN11_S26	CEN12_S27	CEN13_S35	CEN14_S36	CEN15_S37	CEN16_S38	CEN17_S39	CEN1_S11	CEN2_S12	CEN3_S13	CEN4_S14	CEN6_S15	CEN7_S16	CEN8_S17	CEN9_S18	CL1-2_S29	CL4-2_S30	HEV07_S6	HEV10_S1	HEV11_S2	HEV12_S5	HEV13_S8	HEV14_S9	HEV15_S10	HEV16_S22	HEV17_S3	HEV18_S23	HEV20_S32	HEV21_S24	HEV22_S25	HEV23_S7	HEV24_S4	HEV25_S20	HEV26_S21	HEV27_S34	HEV29_S33	NEG_S28	PHH10_S57	PHH16_S58	PHH20_S59	PHH21_S60	PHH22_S61	PHH23_S88	PHH24_S89	PHH25_S74	PHH30_S91	PHH32_S75	PHH34_S76	PHH35_S77	PHH38_S78	PHH39_S92	PHH40_S79	PHH41_S93	PHH42_S80	PHH43_S81	PHH44_S94	PHH45_S95	PHH46_S82	PHH47_S83	PHH49_S84	PHH4_S52	PHH50_S85	PHH51_S97	PHH52_S98	PHH53_S99	PHH54_S100	PHH55_S101	PHH56_S102	PHH57_S103	PHH58_S104	PHH59_S105	PHH5_S53	PHH60_S106	PHH61_S107	PHH62_S62	PHH63_S63	PHH65_S64	PHH66_S65	PHH67_S66	PHH68_S67	PHH69_S68	PHH6_S90	PHH70_S69	PHH71_S70	PHH72_S71	PHH73_S72	PHH74_S73	PHH75_S96	PHH7_S54	PHH8_S55	PHH9_S56	QC1_S31	SME10_S48	SME11_S49	SME12_S50	SME13_S51	SME14_S86	SME1_S40	SME2_S41	SME3_S42	SME5_S43	SME6_S44	SME7_S45	SME8_S46	SME9_S47	SME_S87
ASV_21	5	4	0	0	0	4	5	1	0	3	1	5	0	11	1	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	184	432	309	466	119	424	503	317	62	398	515	341	490	144	310	274	548	491	322	236	238	830	597	774	928	578	330	285	251	373	332	320	281	300	870	404	454	443	513	282	449	456	377	269	243	269	481	495	474	418	569	347	235	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	13	5	3	2	0	7	11	0	0	0	0	13	0	30	3	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	609	418	455	223	456	537	325	30	385	136	217	431	83	277	47	204	389	132	412	187	154	268	406	296	452	560	111	67	112	152	345	185	525	400	336	186	62	320	27	227	201	102	229	387	196	697	321	331	348	307	177	152	668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	774	158	528	192	0	0	199	168	69	7954	536	3266	304	2
ASV_24	7	0	0	0	0	4	0	0	0	12	0	0	0	6	0	6	0	0	36	35	66	0	0	0	0	163	90	100	50	532	0	0	0	0	0	219	0	0	21	202	18	29	0	13	80	34	9	47	97	74	119	42	0	30	0	34	83	0	70	194	77	37	170	34	32	137	299	341	19	0	27	0	42	52	12	527	555	381	496	422	417	149	0	192	203	458	118	188	383	18	35	60	0	162	0	107	79	93	0	0	0	70	0	103	112	230	1233
ASV_25	54	0	11	0	0	45	41	0	0	20	0	61	0	90	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	242	0	0	0	0	0	0	0	0	0	0	289	261	0	182	542	289	297	302	183	183	266	307	327	269	252	321	314	236	375	239	298	340	341	291	0	288	259	338	349	263	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8766	0	0	0	0	0	144	0	0	0	0	0	0	0	225	0	184	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5863	128	76	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2934	0	0	0	0	2014	0	1
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	101	110	68	36	1	0	105	0	54	2253	202	1476	54	0
ASV_30	0	0	267	0	1074	0	86	0	0	0	0	0	0	0	2843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	1	869	0	705	673	134	0	0	0	0	0	0	0	1580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	1075	0	0	0	0	0	710	0	1312	0	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	239	0	0	522	667	0	0	1842	3	0	0	278	2	1	0	172	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
