dada3_input,filtered,dada_f,dada_r,merged,nonchim,final_perc_reads_retained
168113,145239,145154,145186,143751,140471,83.6
131734,114722,114600,114164,112328,106539,80.9
124941,109764,109681,109666,108128,102710,82.2
106022,90234,90197,90196,89410,88680,83.6
89680,76368,76346,76290,75358,74763,83.4
82978,71784,71771,71758,71049,69540,83.8
115371,96045,95948,96002,95256,93687,81.2
112950,99668,99552,99604,98342,94414,83.6
120066,103416,103391,103376,102457,100438,83.7
110986,97599,97537,97531,95857,90657,81.7
147278,125024,124917,124937,123130,117907,80.1
124272,109485,109379,109380,108117,103897,83.6
109317,95506,95455,95442,94584,92114,84.3
92214,73504,73434,73472,72912,72296,78.4
132293,109870,109760,109755,108555,105619,79.8
95922,73044,72972,72997,72552,72012,75.1
134300,116739,116637,116696,114983,112301,83.6
115272,100301,100217,100213,98800,97022,84.2
139368,118847,118743,118792,117959,116698,83.7
102676,89877,89816,89824,88848,86509,84.3
68969,58600,58556,58549,57470,53367,77.4
116463,99490,99420,99447,98709,96977,83.3
114256,98880,98778,98723,96740,89903,78.7
129207,106164,106078,106112,104110,100291,77.6
140515,119089,118999,118997,117642,113574,80.8
114082,98128,98044,98055,96678,92489,81.1
153299,133494,133413,133424,131812,127786,83.4
121523,94501,94449,94448,93237,91226,75.1
78914,68870,68832,68831,68223,66255,84
119755,104727,104674,104650,102880,95651,79.9
301911,143226,143216,142928,112246,112246,37.2
263924,202228,202217,202216,201984,201984,76.5
232991,184088,184082,182246,122808,122808,52.7
411706,1936,1932,1930,1657,1657,0.4
148309,128849,128803,128812,127667,126725,85.4
127092,115755,115726,115724,115321,115275,90.7
138446,117747,117705,117698,117454,117341,84.8
120624,103878,103818,103860,102258,102212,84.7
158650,123168,123127,123120,113524,113377,71.5
147304,126375,126203,126258,123277,121708,82.6
158280,135104,135047,135045,133620,132907,84
145352,125018,124947,124960,122539,121593,83.7
126473,104497,104463,104450,103850,103648,82
141182,122283,122227,122231,121242,120876,85.6
140481,101713,101694,101546,101137,101130,72
144483,102918,102861,102900,102352,102339,70.8
68305,46722,46712,46712,46609,46609,68.2
85601,60564,60533,60553,60350,60350,70.5
154479,112382,112377,112350,112051,112051,72.5
111298,78850,78836,78827,78628,78576,70.6
108087,77332,77313,77315,77108,77108,71.3
105890,70158,70156,70133,70021,70020,66.1
114067,83492,83482,83478,83160,83160,72.9
58283,43696,43630,43661,43243,43164,74.1
65469,46095,46072,46079,45944,45942,70.2
114267,83313,83291,83288,82944,82850,72.5
102138,72545,72538,72532,72407,72407,70.9
30482,6070,6066,6064,3891,3891,12.8
