ID_bold,ZOTU,Phylum_bold,Class_bold,Order_bold,Family_bold,Genus_bold,Species_bold,Notes
Dermaptera,Zotu703,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu750,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu754,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu771,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu781,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu809,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu828,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu845,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu848,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu957,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu958,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu964,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu983,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu987,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu1016,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu1019,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu1073,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu1128,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu1129,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu1205,Arthropoda,Insecta,Dermaptera,,,,
Dermaptera,Zotu1206,Arthropoda,Insecta,Dermaptera,,,,
Dermatophagoides farinae,Zotu1070,Arthropoda,Arachnida,Sarcoptiformes,Pyroglyphidae,Dermatophagoides,Dermatophagoides farinae,
Diploptera punctata,Zotu139,Arthropoda,Insecta,Blattodea,Blaberidae,Diploptera,Diploptera punctata,
Diptera,Zotu137,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu213,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu258,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu387,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu414,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu517,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu627,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu832,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu841,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu990,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu1140,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu1141,Arthropoda,Insecta,Diptera,,,,
Diptera,Zotu1144,Arthropoda,Insecta,Diptera,,,,
Echmepteryx madagascariensis,Zotu586,Arthropoda,Insecta,Psocoptera,Lepidopsocidae,Echmepteryx,Echmepteryx madagascariensis,
Ectopsocus fullawayi,Zotu712,Arthropoda,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,Ectopsocus fullawayi,
Ectopsocus sp.,Zotu437,Arthropoda,Insecta,Psocoptera,Ectopsocidae,Ectopsocus,,
Entomobryomorpha,Zotu75,Arthropoda,Entognatha,Entomobryomorpha,,,,
Entomobryomorpha,Zotu83,Arthropoda,Entognatha,Entomobryomorpha,,,,
Erechthias simulans,Zotu537,Arthropoda,Insecta,Lepidoptera,Tineidae,Erechthias,Erechthias simulans,
Fusarium babinda,Zotu592,,,,,,,non-diet
Fusarium cf. avenaceum,Zotu890,,,,,,,non-diet
Fusarium proliferatum,Zotu1159,,,,,,,non-diet
Gaurax bicoloripes,Zotu1091,Arthropoda,Insecta,Diptera,Chloropidae,Gaurax,Gaurax bicoloripes,
Hasarius adansoni,Zotu87,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,Hasarius adansoni,
Hemiptera,Zotu166,Arthropoda,Insecta,Hemiptera,,,,
Heteropoda venatoria,Zotu1,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Heteropoda venatoria,Zotu38,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Heteropoda venatoria,Zotu132,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Heteropoda venatoria,Zotu197,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Heteropoda venatoria,Zotu239,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Heteropoda venatoria,Zotu390,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Heteropoda venatoria,Zotu403,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Heteropoda venatoria,Zotu779,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Heteropoda venatoria,Zotu895,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda venatoria,Heteropoda venatoria,
Isometrus maculatus,Zotu33,Arthropoda,Arachnida,Scorpiones,Buthidae,Isometrus,Isometrus maculatus,
Isopoda,Zotu429,Arthropoda,Malacostraca,Isopoda,,,,
Lamprolonchaea metatarsata,Zotu404,Arthropoda,Insecta,Diptera,Lonchaeidae,Lamprolonchaea,Lamprolonchaea metatarsata,
Lepidodactylus lugubris,Zotu127,Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus lugubris,
Lepidopsocus marmoratus,Zotu133,Arthropoda,Insecta,Psocoptera,Lepidopsocidae,Lepidopsocus marmoratus,Lepidopsocus marmoratus,
Lepidoptera,Zotu270,Arthropoda,Insecta,Lepidoptera,,,,
Lepidoptera,Zotu364,Arthropoda,Insecta,Lepidoptera,,,,
Lepidoptera,Zotu529,Arthropoda,Insecta,Lepidoptera,,,,
Linepithema humile,Zotu834,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema humile,Linepithema humile,
Linepithema humile,Zotu972,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema humile,Linepithema humile,
Liposcelis bostrychophila,Zotu1081,Arthropoda,Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,
Liriomyza sativae,Zotu507,Arthropoda,Insecta,Diptera,Agromyzidae,Liriomyza sativae,Liriomyza sativae,
Microstromatales,Zotu1053,,,,,,,non-diet
Mus musculus,Zotu32,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,
