Plot_Id;Agromyzidae;Anthomyiidae;Aphididae;Apidae;Braconidae;Calliphoridae;Canacidae;Cecidomyiidae;Ceratopogonidae;Chironomidae;Collembola;Crambidae;Culicidae;Empididae;Enchytraeidae;Erebidae;Eulophidae;Fanniidae;Geometridae;Heleomyzidae;Hemiptera;Ichneumonidae;Limoniidae;Liposcelidae;Lycaenidae;Lygaeidae;Mesostigmata;Muscidae;Mycetophilidae;Noctuidae;Nymphalidae;Oribatida;other Araneae;Phoridae;Pieridae;Piophilidae;Prostigmata;Pteromalidae;Scathophagidae;Sciaridae;Syrphidae;Tachinidae;Tenthredinidae;Thomisidae;Tipulidae;Tortricidae;Trichoceridae
F_t2;0;0.285714286;0.5;0;0;0;0;0.142857143;0.285714286;0.75;0.071428571;0;0.642857143;0.5;0;0;0.035714286;0;0.107142857;0;0;0.035714286;0;0;0;0;0;0.107142857;0.321428571;0.25;0.035714286;0;0.214285714;0.5;0;0;1.214285714;0;0;0.964285714;0.071428571;0;0;0;0.142857143;0;0
F_t3;0.25;0.375;0.625;0;0;0;0;0;0.125;0.75;0.125;0;0.5;0.375;0;0;0.125;0;0.125;0;0;0;0;0;0;0;0;0.25;0.25;0.25;0;0;0.25;0.625;0;0;1.5;0;0;0.875;0;0;0;0;0;0;0
F_t4;0;0.166666667;0.666666667;0;0;0;0;0.166666667;0.333333333;1;0.166666667;0;0.833333333;0.333333333;0;0;0.166666667;0;0;0;0;0;0;0;0;0;0;0.333333333;0.166666667;0.333333333;0;0;0.5;0.333333333;0;0;2;0;0;0.666666667;0;0;0;0;0.333333333;0;0
G_t1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0.5;0;0;0.5;0;0;1;0;0;0;0;0.5;0;0
G_t2;0;0.034482759;0.206896552;0;0;0;0;0.137931034;0.551724138;0.862068966;0.034482759;0;0.517241379;0.620689655;0;0;0;0;0;0;0;0.034482759;0.034482759;0;0;0;0;0.172413793;0.275862069;0.344827586;0.034482759;0;0.137931034;0.448275862;0;0;0.448275862;0;0;1;0;0;0;0;0.103448276;0.034482759;0
G_t3;0;0.125;0;0;0;0;0;0.125;0.5;1;0;0;0.625;0.5;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0.375;0;0;0.25;0.625;0;0;0.125;0;0;0.875;0.125;0;0;0;0.125;0;0
G_t4;0;0.333333333;0.666666667;0;0;0;0;0;0;1;0;0;0.666666667;0;0;0;0;0;0;0;0;0.333333333;0;0;0;0;0;0.333333333;0.666666667;1;0;0;0;0.333333333;0;0;1;0;0;0.666666667;0;0;0;0;0;0;0
H_t1;0.2;0.4;0.2;0;0;0;0;0;1;1;0;0;0.4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.6;0;0;0;0.6;0;0;0.2;0;0;0.8;0.6;0.2;0;0;0.2;0;0
H_t2;0;0.233333333;0.033333333;0;0;0;0;0.066666667;0.9;1;0;0.033333333;0.566666667;0.466666667;0;0.033333333;0;0;0;0;0;0;0;0;0;0;0;0.166666667;0.2;0.266666667;0.033333333;0;0.366666667;0.2;0;0;0.1;0.033333333;0.033333333;0.9;0.2;0;0;0;0.3;0;0
H_t3;0;0.5;0;0;0;0;0;0;0.75;0.75;0;0;0.5;0.5;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0.25;0;0;0;0;0.5;0;0;0.25;0.25;0;1;0.25;0;0;0;0.25;0;0
H_t4;0;0;0.166666667;0;0;0;0;0;0.5;1;0;0;0.833333333;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333;0.166666667;0;0;0.5;0.333333333;0;0;0.5;0;0;1;0.166666667;0;0;0;0.333333333;0;0
I_t1;0;0;0.230769231;0;0;0;0;0.153846154;0.769230769;1;0;0;0.538461538;0.461538462;0;0;0;0;0;0;0;0.153846154;0;0;0;0;0;0.076923077;0.153846154;0.384615385;0.076923077;0;0.230769231;0.307692308;0;0;0;0;0;0.384615385;0;0;0;0;0.076923077;0;0
