"","ASV","HEV07a","HEV10a","HEV11a","HEV12a","HEV13a","HEV14a","HEV15a","HEV16a","HEV17a","HEV18a","HEV20a","HEV21a","HEV22a","HEV23a","HEV24a","HEV25a","HEV26a","HEV27a","HEV29a","HEV07b","HEV10b","HEV11b","HEV12b","HEV13b","HEV14b","HEV15b","HEV16b","HEV17b","HEV18b","HEV20b","HEV21b","HEV22b","HEV23b","HEV24b","HEV25b","HEV26b","HEV27b","HEV29b","HEV07c","HEV10c","HEV11c","HEV12c","HEV13c","HEV14c","HEV15c","HEV16c","HEV17c","HEV18c","HEV20c","HEV21c","HEV22c","HEV23c","HEV24c","HEV25c","HEV26c","HEV27c","HEV29c","HEV07d","HEV10d","HEV11d","HEV12d","HEV13d","HEV14d","HEV15d","HEV16d","HEV17d","HEV18d","HEV20d","HEV21d","HEV22d","HEV23d","HEV24d","HEV25d","HEV26d","HEV27d","HEV29d"
"24","ASV_48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,66,0,0,0,0,163,90,100,50,531,0,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","ASV_49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"26","ASV_52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","ASV_53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","ASV_56",0,0,0,0,0,363,0,0,1314,0,1,0,180,0,0,0,0,0,0,0,0,0,0,0,260,0,0,1100,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,126,0,0,796,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,305,0,0,1040,0,0,0,137,0,0,0,0,0,0
"29","ASV_59",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","ASV_60",0,0,0,218,285,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,242,0,207,0,281,0,209,189,0,0,216,0,192,0,272,0,177,96,95,217,143,168,0,237,153,0,0,0,0,165,0,157,142,0,65,0,0,0,0,0,241,0,0,165,0,0,0,0,0,0,176,0,0,0,0
"31","ASV_62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,720,6,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,694,6,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,542,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,516,11,15,12
"32","ASV_64",0,136,0,96,1,0,112,0,50,88,34,495,0,64,127,114,190,0,16,0,105,0,94,0,0,130,0,47,65,38,379,0,68,110,116,174,0,15,0,101,0,66,1,0,90,0,38,48,41,337,0,49,82,95,161,0,9,0,90,0,83,1,0,99,1,41,46,33,426,0,34,88,74,135,0,6
"33","ASV_65",0,0,29,0,43,130,0,3,591,4,0,35,98,0,0,0,0,0,0,0,0,27,0,27,73,0,0,461,3,0,34,114,0,0,0,0,0,0,0,0,17,0,33,54,0,0,366,0,0,22,56,0,0,0,0,0,0,0,0,25,0,19,134,0,0,386,0,0,41,85,0,0,0,0,0,0
"34","ASV_71",0,0,0,0,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","ASV_72",0,11,0,0,23,99,0,0,246,0,0,0,14,0,0,0,9,0,0,0,2,0,0,30,60,0,0,200,0,0,0,18,0,0,0,7,0,8,0,0,0,0,16,34,0,0,146,0,0,0,9,0,0,0,10,0,0,0,6,0,0,17,84,0,0,197,0,0,0,0,0,0,0,8,0,2
"36","ASV_75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,162,322,273,141,0,0,278,264,233,290,204,267,0,177,220,351,98,266,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","ASV_77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","ASV_80",0,0,0,0,0,0,0,0,1,135,217,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,91,183,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,85,151,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,81,164,0,0,0,0,0,0,50,0
"39","ASV_85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,112,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0
"40","ASV_90",0,0,0,326,20,53,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,32,0,0,199,0,0,0,0,0,0,0,0,0,0,0,1,0,275,11,25,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,19,0,0,144,0,0,0,0,0,0,0,0,0,0
"41","ASV_91",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","ASV_98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","ASV_106",0,0,0,0,8,16,0,191,3,0,89,0,0,0,81,0,0,74,0,0,0,0,0,9,11,0,205,2,0,79,0,0,0,64,0,0,43,0,0,0,0,0,7,4,0,160,0,0,63,1,0,0,59,0,0,44,0,0,0,0,0,10,8,0,143,2,0,61,0,0,0,47,0,0,73,0
"44","ASV_113",1,130,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"45","ASV_117",0,0,0,0,0,50,0,0,150,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,34,0,0,106,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,22,0,0,91,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,33,0,0,132,0,0,0,12,0,0,0,0,0,0
"46","ASV_118",0,0,0,172,0,16,0,0,83,1,0,5,4,0,1,0,0,0,2,1,0,0,160,1,9,0,0,52,0,0,1,6,0,0,0,0,0,2,1,0,1,104,0,5,0,0,44,0,0,1,4,0,0,0,0,0,3,1,0,0,148,3,5,0,0,56,0,0,1,6,0,0,0,0,0,2
"47","ASV_124",0,0,0,0,0,0,171,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,213,0,0,0,0,0,0,0
"48","ASV_131",0,0,0,0,0,0,51,38,13,0,0,24,16,5,136,0,0,29,0,0,0,0,0,10,0,69,31,4,0,0,41,26,5,119,0,0,18,0,0,0,0,0,7,0,42,29,0,0,0,21,13,0,85,0,0,21,0,0,0,0,0,16,0,55,23,8,0,0,43,12,0,77,0,0,29,0
"49","ASV_132",338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0
"50","ASV_134",0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","ASV_139",0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","ASV_149",0,0,0,220,0,0,0,0,51,0,0,0,0,1,0,1,0,0,2,0,0,0,173,1,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,126,0,2,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,166,0,8,0,0,17,0,0,0,0,0,0,0,0,0,0
"53","ASV_154",0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,16,45,1,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,8,0,0,30,0,0
"54","ASV_155",0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0
"55","ASV_161",0,0,0,0,0,0,208,0,1,0,0,7,0,0,0,16,0,0,11,0,0,0,0,0,0,189,0,1,0,0,6,0,0,0,16,0,0,8,0,0,0,0,0,0,166,0,0,0,0,3,0,0,0,14,0,0,8,0,0,0,0,0,0,139,0,0,0,0,4,0,0,0,0,0,0,2
"56","ASV_181",0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0
"57","ASV_183",0,0,0,0,0,31,0,52,0,0,0,125,22,0,0,0,9,0,0,0,0,0,0,0,21,0,44,0,0,0,99,14,0,0,0,7,0,0,0,0,0,0,0,13,0,39,0,0,0,92,15,0,0,0,3,0,0,0,0,0,0,0,28,0,41,0,0,0,95,15,0,0,0,0,0,0
"58","ASV_190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0
"59","ASV_201",178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","ASV_202",0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","ASV_212",0,0,2,0,4,0,0,0,7,0,0,0,0,0,0,0,0,156,0,0,0,6,0,0,2,0,0,5,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,87,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,173,0
"62","ASV_224",0,0,0,0,0,0,0,0,0,50,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,34,0,0,0,0,15,0,0,0,0
"63","ASV_227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0
"64","ASV_239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"65","ASV_240",0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","ASV_241",0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
"67","ASV_243",0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","ASV_244",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,28,0,0,70,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,31,0,0,64,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,18,0,0,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,56
"69","ASV_249",0,0,0,0,0,48,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,58,0,0,0,0,0,0,0,0,0,0,0
"70","ASV_256",0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,4
"71","ASV_259",14,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","ASV_271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","ASV_283",0,0,0,25,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","ASV_284",0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","ASV_286",0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","ASV_297",0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","ASV_299",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
"78","ASV_307",0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
"79","ASV_318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","ASV_321",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2
