"","node_id","original_name","node_level","network_id","taxonomy_id","created_at","updated_at","taxonomy.id","taxonomy.name","taxonomy.ncbi","taxonomy.tsn","taxonomy.eol","taxonomy.bold","taxonomy.gbif","taxonomy.col","taxonomy.rank","taxonomy.created_at","taxonomy.updated_at","taxonomy"
"11",25282,"Phytocoris breviusculus","taxon",1510,6317,"2019-03-07T17:18:26.980Z","2019-03-07T17:18:26.980Z",6317,"Phytocoris breviusculus",NA,105094,613072,NA,2011854,"6c7b55957b7ef57ca266ebf5aa6254b2","species","2019-03-07T17:18:09.621Z","2019-06-14T15:27:30.732Z",NA
"12",25284,"Largus cinctus","taxon",1510,6319,"2019-03-07T17:18:27.052Z","2019-03-07T17:18:27.052Z",6319,"Heteristius cinctus",NA,638539,46574553,NA,2390154,"8fc72d71acfb25ce2efa5fd6e719b155","species","2019-03-07T17:18:09.729Z","2019-06-14T15:27:30.786Z",NA
"13",25285,"Metadontia amoena","taxon",1510,6320,"2019-03-07T17:18:27.101Z","2019-03-07T17:18:27.101Z",6320,"Conura amoena",NA,NA,1501916,480683,4668939,NA,NA,"2019-03-07T17:18:09.791Z","2019-06-14T15:27:30.836Z",NA
"14",25286,"Apanteles cp.","taxon",1510,6321,"2019-03-07T17:18:27.143Z","2019-03-07T17:18:27.143Z",6321,"Apanteles",7403,NA,3770944,7626,NA,"921c5c8ce9547ed94638a7240293b2dc","genus","2019-03-07T17:18:09.840Z","2019-06-14T15:27:31.155Z",NA
"15",25287,"Vanduzea laeta","taxon",1510,6322,"2019-03-07T17:18:27.171Z","2019-03-07T17:18:27.171Z",6322,"Vanduzea laeta",1465053,NA,19664249,377379,2021331,"4709a6bda05c8d64b6ebc4cb3f4d3c8b","species","2019-03-07T17:18:09.904Z","2019-06-14T15:27:31.210Z",NA
"16",25288,"pseudococcids (unspecified)","taxon",1510,6323,"2019-03-07T17:18:27.206Z","2019-03-07T17:18:27.206Z",6323,"Pseudococcidae",30190,109211,628,80672,NA,"8eb07edcfea2a36fb2eba74193d5c7d2","family","2019-03-07T17:18:09.961Z","2019-06-14T15:27:31.279Z",NA
"17",25289,"Lecanium sp.","taxon",1510,6324,"2019-03-07T17:18:27.240Z","2019-03-07T17:18:27.240Z",6324,"Parthenolecanium",536012,NA,46926713,164399,NA,"29029c4c344c93fda5677c6379f7352e","genus","2019-03-07T17:18:10.014Z","2019-06-14T15:27:31.352Z",NA
"18",25290,"Leptoglossus brevirostris","taxon",1510,6325,"2019-03-07T17:18:27.279Z","2019-03-07T17:18:27.279Z",6325,"Leptoglossus brevirostris",NA,108337,609328,NA,5156096,"44363e9828d11eac0ede995d4028d0e4","species","2019-03-07T17:18:10.064Z","2019-06-14T15:27:31.408Z",NA
"19",25291,"Aphrastus unicolor","taxon",1510,6326,"2019-03-07T17:18:27.315Z","2019-03-07T17:18:27.315Z",6326,"Aphrastus unicolor",NA,617446,883043,NA,1217452,"d9635f5c0b9158a68169f27e5fc9eb83","species","2019-03-07T17:18:10.156Z","2019-06-14T15:27:31.460Z",NA
"20",25292,"Myrmex sp. (prob. estriatus)","taxon",1510,6327,"2019-03-07T17:18:27.348Z","2019-03-07T17:18:27.348Z",6327,"Myrmex",122883,154215,65254,211369,NA,"220c0820209967666c76dde774871a45","genus","2019-03-07T17:18:10.211Z","2019-06-14T15:27:31.512Z",NA
"21",25281,"Casinaria limenitides","taxon",1510,NA,"2019-03-07T17:18:26.946Z","2019-03-07T17:18:26.946Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",25283,"Podisus acutissimus","taxon",1510,NA,"2019-03-07T17:18:27.013Z","2019-03-07T17:18:27.013Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",25293,"Smiracraulax tuberculatus","taxon",1510,NA,"2019-03-07T17:18:27.380Z","2019-03-07T17:18:27.380Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
