Morphospecies,Order,Present in Vials,Species_Stage_Name,Stage_Name,Group,Specialist,Standard_Sorting_Name,Barcode_Status,Authority,Phylum,Subphylum,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,specific_epithet,subspecies,Body_Length_Mean_mm,Body_Mass_Mean_mg,Body_Mass_SD_mg,Body_Mass_N,Body_Mass_Source,Body_Mass_Proxy,Body_Mass_Notes
Hibiscus_tiliaceus,24,#N/A,Hibiscus_tiliaceus_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,14,,,,,"Elevitch, C.R. and L.A.J. Thomson. 2006. Hibiscus Tiliaceus (beach hibiscus). Traditional Trees of Pacific Islands: Their Culture, Environment, and Use. Elevitch, C.R., ed. Permanent Agriculture Resources. Holualoa, Hawai'i.",
Hibiscus_tiliaceus,24,#N/A,Hibiscus_tiliaceus_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus_tiliaceus,24,#N/A,Hibiscus_tiliaceus_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus_tiliaceus,24,#N/A,Hibiscus_tiliaceus_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hibiscus_tiliaceus_Fruit,Fruit,Tree,,,,,,,,,,,,,,,,,,,2,,,,,"Elevitch, C.R. and L.A.J. Thomson. 2006. Hibiscus Tiliaceus (beach hibiscus). Traditional Trees of Pacific Islands: Their Culture, Environment, and Use. Elevitch, C.R., ed. Permanent Agriculture Resources. Holualoa, Hawai'i.",
Hibiscus_tiliaceus,24,#N/A,Hibiscus_tiliaceus_Seed,Seed,Tree,,,,,,,,,,,,,,,,,,,0.4,,,,,"Elevitch, C.R. and L.A.J. Thomson. 2006. Hibiscus Tiliaceus (beach hibiscus). Traditional Trees of Pacific Islands: Their Culture, Environment, and Use. Elevitch, C.R., ed. Permanent Agriculture Resources. Holualoa, Hawai'i.",
Hibiscus_tiliaceus,24,#N/A,Hibiscus_tiliaceus_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Hibiscus_tiliaceus,24,,Hibiscus_tiliaceus_Seedling,Seedling,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,25,#N/A,Pandanus_fisherianus_Adult,Adult,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,25,#N/A,Pandanus_fisherianus_Flower,Flower,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,25,#N/A,Pandanus_fisherianus_Fruit,Fruit,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,25,#N/A,Pandanus_fisherianus_Leaves,Leaves,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,25,#N/A,Pandanus_fisherianus_Nectar,Nectar,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,25,#N/A,Pandanus_fisherianus_Pollen,Pollen,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,25,#N/A,Pandanus_fisherianus_Root,Root,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,25,#N/A,Pandanus_fisherianus_Stem,Stem,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
Pandanus_fisherianus,26,,Pandanus_fisherianus_Seedling,Seedling,Tree,,,,,,,,,,,,,,,,,,,,,,,,,
