"","Order","Family","Genus","Species","Length_mm","Mass_mg","Source","Class"
"2848","Hymenoptera","Formicidae",NA,NA,5.15,6.6,"Sohlstrom et al. 2018",""
"2849","Hymenoptera","Formicidae",NA,NA,3.77,2.14,"Sohlstrom et al. 2018",""
"2850","Hymenoptera","Formicidae",NA,NA,4.6,5.47,"Sohlstrom et al. 2018",""
"2851","Hymenoptera","Formicidae",NA,NA,4.9,7.16,"Sohlstrom et al. 2018",""
"2852","Hymenoptera","Formicidae",NA,NA,2.11,0.31,"Sohlstrom et al. 2018",""
"2853","Hymenoptera","Formicidae",NA,NA,4.77,6.39,"Sohlstrom et al. 2018",""
"2854","Hymenoptera","Formicidae",NA,NA,5,3.46,"Sohlstrom et al. 2018",""
"2855","Hymenoptera","Formicidae",NA,NA,6.19,8.87,"Sohlstrom et al. 2018",""
"2856","Hymenoptera","Formicidae",NA,NA,4.45,2.47,"Sohlstrom et al. 2018",""
"2857","Hymenoptera","Formicidae",NA,NA,8.41,16.18,"Sohlstrom et al. 2018",""
"2858","Hymenoptera","Formicidae",NA,NA,4.89,4.7,"Sohlstrom et al. 2018",""
"2859","Hymenoptera","Formicidae",NA,NA,3.83,1.87,"Sohlstrom et al. 2018",""
"2860","Hymenoptera","Formicidae",NA,NA,3.8,1.47,"Sohlstrom et al. 2018",""
"2861","Hymenoptera","Formicidae",NA,NA,5.36,6.81,"Sohlstrom et al. 2018",""
"2862","Hymenoptera","Formicidae",NA,NA,3.3,1.12,"Sohlstrom et al. 2018",""
"2863","Hymenoptera","Formicidae",NA,NA,10.07,13.29,"Sohlstrom et al. 2018",""
"2864","Hymenoptera","Formicidae",NA,NA,3.54,1.23,"Sohlstrom et al. 2018",""
"2865","Hymenoptera","Formicidae",NA,NA,16.69,148.28,"Sohlstrom et al. 2018",""
"2866","Hymenoptera","Formicidae",NA,NA,2.61,0.84,"Sohlstrom et al. 2018",""
"2867","Hymenoptera","Formicidae",NA,NA,3.28,1.13,"Sohlstrom et al. 2018",""
"2868","Hymenoptera","Formicidae",NA,NA,4.82,4.38,"Sohlstrom et al. 2018",""
"2869","Hymenoptera","Formicidae",NA,NA,2.97,0.61,"Sohlstrom et al. 2018",""
"2870","Hymenoptera","Formicidae",NA,NA,1.32,0.07,"Sohlstrom et al. 2018",""
"2871","Hymenoptera","Formicidae",NA,NA,4.64,3.12,"Sohlstrom et al. 2018",""
