"","sample","unique_ID","pred_ID","Phylum_prey","Class_prey","Order_prey","Family_prey","Genus_prey","Species_prey","ID_level","reads"
"84","CEN10b","Olios sp. 1GAB","Geophilomorpha","Arthropoda","Arachnida","Araneae","Sparassidae","Olios","Olios sp. 1GAB_PAK","Species",0
"85","CEN10b","Oncorhynchus nerka","Geophilomorpha","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus nerka","Species",0
"86","CEN10b","Opopaea sp. CASENT9024170","Geophilomorpha","Arthropoda","Arachnida","Araneae","Oonopidae","Opopaea","Opopaea sp. CASENT9024170","Species",0
"87","CEN10b","Ornebius novarae","Geophilomorpha","Arthropoda","Insecta","Orthoptera","Mogoplistidae","Ornebius","Ornebius novarae","Species",0
"88","CEN10b","Orthoptera","Geophilomorpha","Arthropoda","Insecta","Orthoptera","","","","Order",728
"89","CEN10b","Oxyopes sertatus","Geophilomorpha","Arthropoda","Arachnida","Araneae","Oxyopidae","Oxyopes","Oxyopes sertatus","Species",0
"90","CEN10b","Pantala flavescens","Geophilomorpha","Arthropoda","Insecta","Odonata","Libellulidae","Pantala","Pantala flavescens","Species",0
"91","CEN10b","Parartemia serventyi","Geophilomorpha","Arthropoda","Branchiopoda","Anostraca","Branchipodidae","Parartemia","Parartemia serventyi","Species",0
"92","CEN10b","Periplaneta","Geophilomorpha","Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta","","Genus",0
"93","CEN10b","Pheidole","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Pheidole","","Genus",0
"94","CEN10b","Philonthus explorator","Geophilomorpha","Arthropoda","Insecta","Coleoptera","Staphylinidae","Philonthus","Philonthus explorator","Species",0
"95","CEN10b","Piletocera signiferalis","Geophilomorpha","Arthropoda","Insecta","Lepidoptera","Crambidae","Piletocera","Piletocera signiferalis","Species",0
"96","CEN10b","Ponera <ants>","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Ponera <ants>","","Genus",0
"97","CEN10b","Pseudococcidae","Geophilomorpha","Arthropoda","Insecta","Hemiptera","Pseudococcidae","","","Family",0
"98","CEN10b","Pseudomyrmex gracilis","Geophilomorpha","Arthropoda","Insecta","Hymenoptera","Formicidae","Pseudomyrmex","Pseudomyrmex gracilis","Species",0
"99","CEN10b","Saissetia oleae","Geophilomorpha","Arthropoda","Insecta","Hemiptera","Coccidae","Saissetia","Saissetia oleae","Species",0
"100","CEN10b","Salmo salar","Geophilomorpha","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo salar","Species",0
"101","CEN10b","Sarcoptiformes","Geophilomorpha","Arthropoda","Arachnida","Sarcoptiformes","","","","Order",0
"102","CEN10b","Scholastes lonchifer","Geophilomorpha","Arthropoda","Insecta","Diptera","Platystomatidae","Scholastes","Scholastes lonchifer","Species",0
"103","CEN10b","Sciaridae","Geophilomorpha","Arthropoda","Insecta","Diptera","Sciaridae","","","Family",0
"104","CEN10b","Sciaridae sp. BIOUG15345-H01","Geophilomorpha","Arthropoda","Insecta","Diptera","Sciaridae","","Sciaridae sp. BIOUG15345-H01","Species",0
"105","CEN10b","Sciaridae sp. sc","Geophilomorpha","Arthropoda","Insecta","Diptera","Sciaridae","","Sciaridae sp. sc_02707","Species",0
"106","CEN10b","Sciaridae sp. sc","Geophilomorpha","Arthropoda","Insecta","Diptera","Sciaridae","","Sciaridae sp. sc_07876","Species",0
"107","CEN10b","Selenothrips rubrocinctus","Geophilomorpha","Arthropoda","Insecta","Thysanoptera","Thripidae","Selenothrips","Selenothrips rubrocinctus","Species",0
"108","CEN10b","Smeringopus pallidus","Geophilomorpha","Arthropoda","Arachnida","Araneae","Pholcidae","Smeringopus","Smeringopus pallidus","Species",1
"109","CEN10b","Sminthuridae sp. DPCOL44194","Geophilomorpha","Arthropoda","Collembola","Symphypleona","Sminthuridae","","Sminthuridae sp. DPCOL44194","Species",0
