#OTU ID	EUB01	EUB02	EUB03	EUB04	EUB05	EUB06	EUB07	EUB08	EUB09	EUB10	EUB12	EUB13	EUB15	EUB16	EUB18	EUB19	EUB20	EUB21	EUB23	EUB24	EUB25	EUB26	EUB27	EUB28	EUB29	HEV083a	HEV083d	HEV087a	HEV087d	HEV088a
Zotu403	0	1	4	0	1	1	11	0	0	3	10	5	0	0	8	2	5	0	1	0	1	2	1	0	1	70190	53796	47704	32279	91039
Zotu519	0	0	27	0	0	0	0	0	112	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu86	0	0	3	0	1	2	0	2	6	3	4	2	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu371	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1165	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu774	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0
Zotu25	0	0	2	0	0	1	12	1	1	1	13	2	0	1	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu820	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1	0	0	4	0	0	0	14	0	3	6	4	5	0	1	8	5	4	0	4	0	0	2	0	0	1	38108	31116	23150	16678	47673
Zotu276	0	0	4	0	0	0	0	2	0	2	0	0	0	4	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0
Zotu23	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu46	0	0	5	1	0	0	15	0	1	1	6	15	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16	0	0	1	1	0	0	17	0	0	3	2	0	0	0	6	0	0	13	43810	48654	39870	39942	57542	64393	51508	0	0	0	0	0
Zotu332	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1123	0	0	1	0	0	0	23	0	0	0	4	1	0	1	10	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu773	0	0	1	17	0	24	1	30	0	0	0	0	0	1	280	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0
Zotu605	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu125	0	0	1	0	0	0	1	0	2	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu456	0	0	1	0	0	0	0	0	0	9	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu134	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu162	0	0	0	17	0	22	0	34	0	0	0	0	1	0	387	0	0	139	0	0	0	0	0	0	0	0	0	0	0	0
Zotu370	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu638	0	0	0	13	0	7	0	6	0	0	0	0	4	0	42	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
Zotu468	0	0	0	6	0	17	0	25	0	0	0	0	0	0	51	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0
Zotu47	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu534	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
