#OTU ID	SME01	SME02	SME03	SME05	SME06	SME07	SME08	SME09	SME10	SME11	SME12	SME13	SME14
Zotu555	0	0	0	0	0	0	0	0	60	0	0	0	0
Zotu311	0	0	0	0	0	0	0	0	12	0	0	0	0
Zotu1083	0	0	0	0	0	0	0	0	24	0	0	0	0
Zotu368	0	0	0	0	0	0	0	0	5	0	0	0	0
Zotu141	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu662	0	0	0	0	0	0	0	0	0	36	0	0	0
Zotu291	0	0	0	0	0	0	0	0	0	22	0	0	0
Zotu1081	0	0	0	0	0	0	0	0	0	14	0	0	0
Zotu390	0	0	0	0	0	0	0	0	0	2	0	0	0
Zotu24	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu1085	0	0	0	0	0	0	0	0	0	15	0	0	0
Zotu1124	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu544	0	0	0	0	0	0	0	0	0	0	11	0	0
Zotu834	0	0	0	0	0	0	0	0	0	0	0	13	0
Zotu831	0	0	0	0	0	0	0	0	0	0	0	22	0
Zotu38	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu46	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu488	0	0	0	0	0	0	0	0	0	0	0	0	83
Zotu302	0	0	0	0	0	0	0	0	0	0	0	0	25
Zotu599	0	0	0	0	0	0	0	0	0	0	0	0	51
Zotu25	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu304	0	0	0	0	0	0	0	0	0	0	0	0	1
