#OTU ID	PHH043	PHH044	PHH045	PHH046	PHH047	PHH049	PHH050	PHH051	PHH052	PHH053	PHH054	PHH055	PHH056	PHH057	PHH058	PHH059	PHH060	PHH061	PHH062	PHH063	PHH065	PHH066	PHH067	PHH068	PHH069	PHH070	PHH071	PHH072	PHH073	PHH074	PHH075	QC1a	QC1b	QC1c	QC1d	SCY03	SCY04	SCY07	SCY08	SCY09	SCY10	SCY12	SCY15	SCY16	SCY17
Zotu802	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu533	9	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	4	0	0	0	33	4	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu866	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	0	8	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu366	5	1	0	0	0	25	0	0	185	0	0	0	103	43	0	63	0	54	0	92	22	0	0	0	104	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu169	6	0	0	6	29	19	80	8	22	20	27	23	10	11	3	9	12	20	50	17	15	17	34	27	12	15	18	44	18	18	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu626	8	13	31	7	6	2	2	18	38	0	1	10	6	17	10	18	27	5	3	6	2	12	4	9	10	8	27	4	8	12	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu152	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	4
Zotu510	6	4	8	4	7	11	11	20	9	1	3	9	2	5	1	7	12	7	2	2	1	6	1	1	12	10	13	8	8	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu171	12	4	2	18	47	24	33	44	39	13	10	17	13	22	20	36	53	59	10	19	11	13	14	22	10	8	53	39	31	24	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu96	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu135	13	0	6	26	59	42	124	46	14	10	89	29	26	25	11	17	0	0	70	23	16	27	57	25	8	21	46	37	40	38	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu267	2	0	0	0	16	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu284	4	1	4	2	25	12	19	15	6	7	4	7	4	14	4	5	21	23	1	5	2	9	9	10	6	5	13	19	13	10	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu880	2	5	9	3	6	4	7	16	7	0	0	4	5	8	8	4	11	6	5	0	3	9	12	4	3	3	16	5	12	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu961	3	3	4	0	0	0	3	4	4	0	0	0	2	3	7	2	5	4	0	1	1	5	1	1	2	0	6	1	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu125	3	0	0	3	0	22	0	1	0	0	19	15	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	1	20	0	11	0
Zotu431	5	0	1	3	7	5	0	0	6	0	0	5	3	1	2	3	2	8	2	6	0	2	1	7	3	2	3	2	11	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu12	1	0	0	2	5	1	2	9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
