"","Order","Family","length_mean_mm","sd_length","n","se_lenth"
"51","Diptera","Cosmosciara",1.06,NA,1,NA
"52","Diptera","Culicidae",3.6,NA,1,NA
"53","Diptera","Dolichopodidae",3.2,2.29991948342964,4,1.14995974171482
"54","Diptera","Drosophilidae",2.7333333335,1.03708994597597,2,0.7333333335
"55","Diptera","Ephydridae",2.2,NA,1,NA
"56","Diptera","Hippoboscidae",5.3,NA,1,NA
"57","Diptera","Limoniidae",4.8,NA,1,NA
"58","Diptera","Lonchaeidae",3.2,NA,1,NA
"59","Diptera","Milichiidae",2.4,NA,1,NA
"60","Diptera","Muscidae",3.3,NA,1,NA
"61","Diptera","Phoridae",0.7166666665,0.164991582041159,2,0.1166666665
"62","Diptera","Platystomatidae",7.566666667,NA,1,NA
"63","Diptera","Psychodidae",1,NA,1,NA
"64","Diptera","Scatopsidae",1.33333333333333,0.321455025366432,3,0.185592145427667
"65","Diptera","Sciaridae",1.46,NA,1,NA
"66","Diptera","Stratiomyidae",7.1,NA,1,NA
"67","Diptera","Ulidiidae",5.1,NA,1,NA
"68","Diptera","Xenasteiidae",1.466666667,NA,1,NA
"69","Entomobryomorpha","",0.892440476166667,0.169533034599515,6,0.069211571552403
"70","Geophilomorpha","",22.98,NA,1,NA
"71","Hemiptera","Aleyrodidae",1.552054795,NA,1,NA
"72","Hymenoptera","Aphelinidae",0.6669281045,0.143866053053777,4,0.0719330265268885
"73","Hymenoptera","Bethylidae",2.0010612244898,0.275205083752107,4,0.137602541876054
"74","Hymenoptera","Braconidae",2.6,0.707106781186548,2,0.5
"75","Hymenoptera","Ceraphonidae",1.6,NA,1,NA
"76","Hymenoptera","Encytridae",1.1130050505,0.494989684797771,6,0.202078692615936
"77","Hymenoptera","Eulophidae",1.24667748906667,0.252445114629606,5,0.112896887379905
"78","Hymenoptera","Evaniidae",5.783333333,NA,1,NA
"79","Hymenoptera","Figitidae",1.27,0.0989949493661167,2,0.07
"80","Hymenoptera","Formicidae",2.3030770388,1.27272082241887,20,0.284589027530804
"81","Hymenoptera","Mymaridae",0.3,0,2,0
"82","Hymenoptera","Mymarommatidae",0.4,NA,1,NA
"83","Hymenoptera","Platygastridae",0.90729166675,0.386376432791776,4,0.193188216395888
"84","Hymenoptera","Pteomalidae",1.4011363635,0.245880312741806,2,0.1738636365
"85","Hymenoptera","Pteromalidae",2.033333333,NA,1,NA
"86","Hymenoptera","Scelionidae",1.65,NA,1,NA
"87","Hymenoptera","Vespidae",10.63,4.42648845022779,2,3.13
"88","Lepidoptera","Agonoxenidae",4.360377358,NA,1,NA
"89","Lepidoptera","Autostichidae",5.13,NA,1,NA
"90","Lepidoptera","Cosmopterigidae",4.28,NA,1,NA
"91","Lepidoptera","Crambidae",7.89,NA,1,NA
"92","Lepidoptera","Gracillaridae",3.42,NA,1,NA
"93","Lepidoptera","Tineidae",4.945,1.73241161390704,2,1.225
"94","Odonata","Libellulidae",38.8466666666667,NA,1,NA
"95","Orthoptera","Gryllidae",19,NA,1,NA
"96","Orthoptera","Mogoplistidae",5.2291764946,2.98841393992397,5,1.33645934291559
"97","Orthoptera","Myrmecophilidae",2.966666667,NA,1,NA
"98","Orthoptera","Pyrgomorphidae",22.16666667,NA,1,NA
"99","Orthoptera","Tettigonidae",10.75625,5.89810615791205,4,2.94905307895602
"100","Orthoptera","Tettigoniidae",10.72,NA,1,NA
"101","Poduromorpha","",0.702590732666667,0.256602665799966,6,0.104757599641306
"102","Psocodea","Ceaciliusidae",1.59333333333333,0.410040648391514,3,0.236737078727529
"103","Psocodea","Ectopsocidae",1.123,0.309467284215957,5,0.138397976863826
"104","Psocodea","Lepidopsocidae",1.44444444433333,0.171053381130851,3,0.0987577156416927
"105","Scorpiones","Buthidae",7.96271186440678,NA,1,NA
"106","Stylommatophora","Achatinidae",2.6603535355,0.261600398627113,4,0.130800199313557
"107","Stylommatophora","Pupillidae",1.8636363635,0.899954085339362,2,0.6363636365
"108","Symphypleona","",0.45,0.0707106781186547,2,0.05
"109","Thsysanoptera","Merothripidae",0.87,NA,1,NA
"110","Thsysanoptera","Phlaeothripidae",1.4366753246,0.207910307391408,5,0.0929803161100131
"111","Thsysanoptera","Thripidae",1.0227460316,0.342637420336432,5,0.153232112701486
